sensor,lat,lon,elev
396,"N 60 44' 9.2603""","E 11 32' 8.1952""",293.389
410,"N 60 44' 9.9531""","E 11 32' 5.0219""",291.751
4276,"N 60 44' 9.9531""","E 11 32' 5.0219""",291.751
402,"N 60 44' 10.7228""","E 11 32' 2.9739""",287.525
417,"N 60 44' 11.7058""","E 11 32' 0.6742""",283.713
404,"N 60 44' 12.6566""","E 11 31' 58.4301""",282.652
424,"N 60 44' 12.9502""","E 11 31' 57.2309""",285.391
4534,"N 60 44' 12.9502""","E 11 31' 57.2309""",285.391
222,"N 60 44' 13.4387""","E 11 31' 56.3673""",283.53
214,"N 60 44' 14.2718""","E 11 31' 54.4002""",289.344
382,"N 60 44' 15.2458""","E 11 31' 52.4332""",282.687
409,"N 60 44' 16.2095""","E 11 31' 50.6536""",283.926
321,"N 60 44' 16.6037""","E 11 31' 50.0375""",280.37
4788,"N 60 44' 16.6037""","E 11 31' 50.0375""",280.37
217,"N 60 44' 17.1418""","E 11 31' 48.8806""",281.458
423,"N 60 44' 18.0999""","E 11 31' 47.1316""",279.848
390,"N 60 44' 19.0714""","E 11 31' 45.9157""",278.773
318,"N 60 44' 20.0616""","E 11 31' 43.7066""",280.25
5348,"N 60 44' 20.0616""","E 11 31' 43.7066""",280.25
438,"N 60 44' 21.3017""","E 11 31' 42.3990""",282.732
408,"N 60 44' 22.6620""","E 11 31' 42.2350""",283.101
319,"N 60 44' 23.9888""","E 11 31' 41.0792""",284.429
4447,"N 60 44' 24.4654""","E 11 31' 40.2665""",284.904
310,"N 60 44' 24.8764""","E 11 31' 39.3567""",284.595
397,"N 60 44' 25.7787""","E 11 31' 37.4185""",285.178
403,"N 60 44' 26.9292""","E 11 31' 35.9638""",286.365
407,"N 60 44' 28.2985""","E 11 31' 34.5786""",285.715
5337,"N 60 44' 28.2985""","E 11 31' 34.5786""",285.715
413,"N 60 44' 29.4622""","E 11 31' 33.5825""",285.447
414,"N 60 44' 30.7628""","E 11 31' 33.2623""",283.448
412,"N 60 44' 31.9670""","E 11 31' 32.7310""",282.445
415,"N 60 44' 33.0843""","E 11 31' 31.5954""",282.891
4450,"N 60 44' 33.0843""","E 11 31' 31.5954""",282.891
416,"N 60 44' 34.3197""","E 11 31' 30.4659""",287.176
411,"N 60 44' 35.7211""","E 11 31' 30.1547""",281.773
211,"N 60 44' 37.3315""","E 11 31' 29.0977""",284.536
4888,"N 60 44' 37.3315""","E 11 31' 29.0977""",284.536
420,"N 60 44' 38.6111""","E 11 31' 28.6408""",289.801
419,"N 60 44' 40.0028""","E 11 31' 28.4386""",286.46
320,"N 60 44' 41.3138""","E 11 31' 28.2909""",281.352
3962,"N 60 44' 41.8864""","E 11 31' 28.8627""",281.009
422,"N 60 44' 42.5690""","E 11 31' 27.9466""",280.261
421,"N 60 44' 43.5857""","E 11 31' 27.5544""",278.577
323,"N 60 44' 45.0382""","E 11 31' 27.7034""",279.43
617,"N 60 37' 1.2708""","E 11 14' 55.4116""",162.738
610,"N 60 37' 3.6731""","E 11 14' 58.3169""",142.375
5263,"N 60 37' 3.6102""","E 11 14' 58.3456""",145.375
139,"N 60 37' 5.9155""","E 11 15' 5.7235""",126.167
606,"N 60 37' 14.3915""","E 11 15' 49.3991""",169.84
609,"N 60 37' 20.7825""","E 11 15' 56.3262""",187.114
137,"N 60 38' 24.1028""","E 11 18' 32.8794""",178.583
